grid,arr,inv
10,0,1
12,5,24
16,0,3
17,0,2
18,1,0
19,0,2
20,1,0
21,1,2
23,0,1
29,1,3
31,0,1
33,0,1
36,0,2
38,1,0
43,2,0
46,0,1
47,10,22
48,1,1
51,1,0
52,1,0
55,3,2
58,0,2
60,1,2
61,1,1
62,2,4
63,3,3
66,1,0
67,1,0
68,1,1
69,0,1
71,1,1
72,1,0
73,2,5
74,1,0
75,1,2
76,1,1
77,3,2
78,8,11
82,1,252
85,0,1
86,1,1
87,0,1
88,1,65
89,5,7
90,3,3
91,0,2
92,1,0
93,0,1
94,1,1
95,4,3
97,0,1
98,0,1
101,0,1
102,1,4
103,3,34
104,1,3
105,1,3
114,1,1
115,38,28
117,0,1
118,1,0
121,6,10
122,5,2
123,0,4
124,1,1
125,1,0
126,0,1
128,0,2
134,2,0
135,12,9
136,2,4
137,1,0
138,1,0
139,0,1
141,1,2
142,0,1
143,6,13
144,2,4
145,1,2
147,2,3
148,1,3
149,2,0
150,2,1
151,1,0
156,1,1
157,8,3
158,1,3
163,1,0
164,14,5
165,8,8
166,2,0
167,0,1
170,1,0
171,1,2
172,1,10
173,1,2
175,0,1
177,1,0
178,0,1
180,0,1
181,4,4
182,1,1
187,0,1
188,3,2
189,1,6
190,1,0
193,0,1
195,3,3
196,10,356
197,3,4
198,1,0
199,0,1
201,4,0
202,1,6
203,1,3
204,2,1
205,1,1
211,2,1
212,0,1
215,2,1
216,3,4
217,3,2
218,5,4
219,9,7
220,10,2
221,3,2
222,2,6
223,3,1
224,0,3
225,2,3
226,2,3
232,1,3
234,1,1
238,1,0
239,0,1
240,2,0
241,2,0
243,0,3
244,7,4
245,1,1
246,0,1
247,1,4
248,26,19
249,1,2
250,2,1
251,2,3
252,0,2
257,3,1
258,0,2
259,2,1
260,1,0
262,1,1
265,2,1
266,2,3
267,9,9
268,2,1
269,2,0
270,4,0
271,2,3
272,5,6
273,0,7
274,0,3
275,3,1
276,0,2
277,3,1
280,0,1
284,3,3
285,7,195
286,4,0
287,10,4
288,9,9
289,4,4
290,1,2
291,3,0
292,1,0
295,1,1
296,1,0
297,1,0
299,1,0
304,1,0
305,2,0
306,13,5
307,4,2
308,49,20
309,11,4
310,3,1
311,0,2
312,0,5
313,3,0
315,9,2
317,3,2
318,3,1
319,1,3
320,3,1
324,1,0
325,13,8
326,20,12
327,4,4
328,10,5
329,10,10
330,7,9
331,2,5
332,3,5
333,8,6
334,2,1
335,3,5
336,6,8
337,16,412
338,4,4
339,5,3
342,0,4
343,8,5
344,5,5
345,3,1
346,1,1
347,8,21
348,7,38
349,3,1
350,0,1
351,1,1
352,8,9
353,5,6
354,11,10
355,12,13
356,19,11
357,6,2
358,9,7
359,5,3
360,6,10
361,4,4
362,4,651
363,8,4
364,8,8
365,8,4
366,3,4
367,3,0
368,1,0
369,2,1
370,5,6
371,5,1
372,0,1
373,5,11
374,8,8
375,23,12
376,15,13
377,5,4
378,10,14
379,10,14
380,19,11
381,29,31
382,24,22
383,18,18
384,1,2
385,1,5
387,2,4
388,3,2
389,4,15
390,3,6
391,10,7
392,2,4
393,12,9
394,7,2
395,14,15
396,19,23
397,6,7
398,13,5
399,11,8
400,73,57
401,7,14
402,6,5
403,8,6
404,1,0
406,0,1
407,0,1
408,5,1
409,4,3
410,15,19
411,11,3
412,6,5
413,1,4
414,5,8
415,11,12
416,5,9
417,8,11
418,16,5
419,69,42
420,92,107
421,6,5
422,6,5
423,3,1
424,1,0
427,2,0
428,1,0
429,9,6
430,1,0
431,6,9
432,2,1
433,4,1
434,2,1
435,8,5
436,9,8
437,2,6
438,11,8
439,6,20
440,10,13
441,4,10
442,66,62
443,4,5
444,6,117
445,7,6
446,2,2
447,2,3
448,3,4
450,3,4
451,2,3
453,1,0
454,1,1
455,12,5
456,22,24
457,7,8
458,4,4
459,14,18
460,3,3
461,7,0
462,13,5
463,17,12
464,2,6
465,7,7
466,2,0
467,0,1
468,4,5
469,22,14
470,37,31
471,264,114
472,4,0
473,3,0
475,1,0
476,7,6
477,1,2
480,1,1
481,4,3
482,7,3
483,11,319
484,19,26
485,27,15
486,11,475
487,6,1
488,9,10
489,4,4
490,2,2
491,8,1
494,36,14
495,81,40
496,28,23
497,39,118
498,0,1
499,6,3
500,4,31
502,6,2
503,1,0
504,4,0
505,0,5
506,1,1
507,5,5
508,2,2
509,5,3
510,4,4
511,4,6
512,16,14
513,20,17
514,8,13
515,18,496
516,2,0
517,9,2
518,7,6
519,3,0
520,10,7
521,4,2
522,22,10
523,0,2
524,2,0
526,2,2
527,2,3
528,3,1
529,1,1
530,3,3
531,0,2
532,3,9
533,20,20
534,12,7
535,7,7
538,1,2
539,2,2
540,2,5
541,1,0
543,1,0
544,3,0
545,6,0
546,7,2
547,1,4
548,3,5
550,0,2
552,1,2
553,0,2
554,6,5
555,5,11
556,1,1
558,0,1
561,3,4
562,0,1
564,2,17
565,3,20
566,1,3
568,1,0
569,5,0
570,7,29
571,14,17
573,1,3
574,0,2
575,3,5
577,6,8
578,17,27
579,16,151
580,13,25
581,36,43
583,0,2
584,3,2
587,0,1
588,6,5
589,5,5
590,12,14
591,5,23
593,1,0
596,0,3
598,2,4
599,8,14
600,1,0
607,7,10
614,2,1
615,1,4
624,2,5
633,7,13
634,0,1
635,3,3
642,9,9
643,2,3
646,2,8
647,1,2
650,0,3
651,1,5
658,2,3
