id,total,asian,black,hispanic,white,indian_american,indian_american
100233698,8,0,4,0,4,0,0
100233779,100,1,46,13,33,0,1
100233797,3,0,0,1,2,0,0
100233798,84,0,38,8,34,0,0
100234764,13,0,8,3,1,0,0
100236361,41,0,12,12,12,0,0
100316263,426,5,183,52,176,0,2
100317419,3,0,0,1,2,0,0
100318027,9,0,5,2,2,0,0
100318427,5,0,5,0,0,0,0
100319485,2,0,2,0,0,0,0
100319995,2,0,2,0,0,0,0
100393445,3,0,0,1,2,0,0
100529985,1,0,0,0,1,0,0
101439779,28,0,16,2,10,0,0
101441534,161,4,121,12,15,0,1
101444009,163,5,132,10,11,0,0
101446954,2,0,0,0,1,0,0
101447388,24,0,6,1,17,0,0
101448911,3,0,1,0,2,0,0
101448912,4,0,0,0,4,0,0
101575367,9,0,3,3,3,0,0
101665818,23,0,3,6,13,0,1
101671652,5,0,0,0,4,0,0
101672141,39,0,22,10,6,0,0
101672651,2,0,0,1,1,0,0
101676177,5,0,3,1,0,0,0
101912043,10,0,4,4,2,0,0
101912052,27,1,14,2,9,0,0
102247857,64,0,21,14,29,0,0
102470955,15,0,9,1,2,0,0
102473004,12,0,10,1,0,0,0
102473005,25,1,17,5,2,0,0
102473184,16,0,14,1,1,0,0
102473992,1,0,0,0,1,0,0
102473994,24,2,17,2,3,0,0
102474870,34,0,15,15,4,0,0
102474876,10,0,6,3,0,0,0
102474877,65,4,42,7,6,0,0
102474881,12,0,5,2,5,0,0
102474889,57,0,39,2,10,0,1
102518917,52,0,15,31,5,0,0
102518944,28,0,8,6,13,0,0
102519704,1,0,1,0,0,0,0
102520167,224,0,161,38,14,0,1
102521064,401,2,146,51,189,0,3
102521641,23,1,13,2,5,0,0
102645279,8,0,4,1,3,0,0
102645282,9,0,3,0,6,0,0
102646928,1,0,0,0,1,0,0
102686737,100,0,83,6,6,0,0
102709071,1,0,0,1,0,0,0
102710889,1,0,0,0,1,0,0
102744083,10,0,6,4,0,0,0
102837277,3,0,2,0,1,0,0
102924377,1,0,0,0,0,0,0
103024821,1,0,0,0,1,0,0
103024878,1,0,1,0,0,0,0
103025021,4,0,2,0,2,0,0
103025022,1,0,0,0,1,0,0
103025807,1,0,1,0,0,0,0
103026801,2,0,0,0,2,0,0
103027919,3,0,0,0,3,0,0
103245823,1,0,0,0,1,0,0
103383685,45,1,21,4,16,0,0
103383705,77,1,42,4,24,0,0
103498852,2,0,0,2,0,0,0
103530870,1,0,0,1,0,0,0
103530872,4,0,4,0,0,0,0
103530878,1,0,1,0,0,0,0
103554256,1,0,0,0,1,0,0
103680180,8,0,4,1,3,0,0
103680390,9,0,4,1,4,0,0
103680476,9,0,8,1,0,0,0
104204745,2,0,1,0,0,0,0
104205451,15,0,2,1,10,0,0
105961640,3,0,1,2,0,0,0
105961646,2,0,0,0,2,0,0
107301842,1,0,0,0,1,0,0
107301844,9,0,4,3,1,0,0
109301987,9,0,2,0,7,0,0
109301988,5,0,0,0,5,0,0
109301989,33,0,5,1,24,0,1
109301990,2,0,2,0,0,0,0
112687133,1,0,0,1,0,0,0
112688229,13,0,2,2,9,0,0
112757779,9,0,0,0,9,0,0
112758277,17,0,3,1,13,0,0
112774097,19,1,7,1,9,0,0
112774100,4,0,0,0,3,0,0
113214547,3,0,1,0,2,0,0
113215591,1,0,0,0,1,0,0
113215718,49,0,22,4,18,0,0
113219006,14,0,1,4,9,0,0
114288587,20,0,1,1,17,0,0
114884159,3,0,0,0,2,0,0
115576912,1,0,1,0,0,0,0
115591991,2,0,1,1,0,0,0
115591995,13,0,11,1,1,0,0
116884898,120,0,110,3,3,0,0
